Original	Verf?schte	10,10,10(Length,Distribution,Order)	10,3,10	10,10,3	10,3,3	10,10,1	10,3,1	10,1,3	DL	10,1,1	L	3,10,10	3,3,10	3,10,3	3,3,3	3,1,10	3,10,1	3,3,1	3,1,3	3,1,1	1,1000,1000	1,300,300	1,10,10	1,3,10	1,10,3	1,3,3	1,1,10	1,10,1	1,3,1	1,1,3	1,1,1
Ebert@BNP_Paribas_S.A..de	 Ebert@BNP_aribas_SA..de	0.010938693342421132	0.012825347584187166	0.017659209152430105	0.019545863394196138	0.025880301783961474	0.030996279993703663	0.032600817593970446	0.04	0.04405123419347797	0.08	0.10066932853739473	0.10255598277916077	0.1073898443474037	0.10927649858916974	0.11561093697893507	0.11884026094691122	0.12072691518867726	0.12233145278894404	0.13378186938845157	0.4323324641507249	0.4323335335707373	0.4333703883774924	0.43525704261925846	0.44009090418750135	0.4419775584292674	0.4483119968190328	0.4515413207870089	0.45342797502877497	0.4550325126290417	0.4664829292285492
Klingler-Wolf@BNP_Paribas_S.A..de	 Klingler-Wolf@BNP_aribas_SA..de	0.010555753396170271	0.011846622087904926	0.014716072707128205	0.01600694139886286	0.02077895917196103	0.023095294531891325	0.024939278482918964	0.030303030303030304	0.03202763161594743	0.06060606060606061	0.10028638859114386	0.10157725728287852	0.1044467079021018	0.10573757659383645	0.11050959436693462	0.11153506103513026	0.11282592972686492	0.11466991367789256	0.12175826681092103	0.43233242511089315	0.4323330998033325	0.43298744843124154	0.4342783171229762	0.4371477677421995	0.43843863643393416	0.4432106542070323	0.44423612087522796	0.44552698956696263	0.44737097351799027	0.45445932665101874
Waldm??ller@BNP_Paribas_S.A..de	 Waldm??ller@BNP_aribas_SA..de	0.01066766945750244	0.012200576028937343	0.015521375320286697	0.0170542818917216	0.022807726316253968	0.025324027213588146	0.027661432179038225	0.03333333333333333	0.03593117750090477	0.06666666666666667	0.10039830465247604	0.10193121122391094	0.1052520105152603	0.1067849170866952	0.11253836151122756	0.11352175583712684	0.11505466240856174	0.11739206737401182	0.12566181269587837	0.4323324365065491	0.43233322641940614	0.4330993644925737	0.43463227106400865	0.43795307035535797	0.43948597692679287	0.4452394213513252	0.4462228156772245	0.4477557222486594	0.4500931272141095	0.4583628725359761
Tepel@BNP_Paribas_S.A..de	 Tepel@BNP_aribas_SA..de	0.010924991362181247	0.01267688458667828	0.017645507172190218	0.01939740039668725	0.02479934205789728	0.030847816996194776	0.03151985786790625	0.04	0.04297027446741378	0.08	0.10065562655715485	0.10240751978165187	0.10737614236716382	0.10912803559166084	0.11452997725287087	0.11882655896667134	0.12057845219116838	0.12125049306287985	0.13270090966238737	0.43233246277709886	0.4323335183082644	0.4333566863972525	0.43510857962174954	0.4400772022072615	0.4418290954317585	0.4472310370929686	0.451527618806769	0.45327951203126604	0.4539515529029775	0.465401969502485
Nussbaum@BNP_Paribas_S.A..de	 Nussbaum@BNP_aribas_SA..de	0.010766328436098675	0.012518221660595708	0.016226747531730965	0.017978640756227997	0.024640679131814707	0.02728210424332786	0.030101098227447	0.03571428571428571	0.03940456171454686	0.07142857142857142	0.10049696363107227	0.10224885685556931	0.10595738272670456	0.1077092759512016	0.1143713143267883	0.11526084621380442	0.11701273943830146	0.1198317334224206	0.12913519690952047	0.4323324465511738	0.43233333802431	0.4331980234711699	0.43494991669566696	0.43865844256680225	0.4404103357912993	0.447072374166886	0.4479619060539021	0.44971379927839916	0.4525327932625183	0.46183625674961815
Macher@BNP_Paribas_S.A..de	 Macher@BNP_aribas_SA..de	0.010852673293179987	0.012487773636043885	0.01709315225961689	0.01872825260248079	0.023802067275848285	0.029360782302023485	0.030042546242285185	0.038461538461538464	0.040675075941827885	0.07692307692307693	0.10058330848815358	0.10221840883101747	0.10682378745459048	0.10845888779745438	0.11353270247082188	0.11745631715413318	0.11909141749699709	0.11977318143725878	0.1304057111368015	0.43233245540531823	0.4323334364011862	0.4332843683282513	0.43491946867111514	0.43952484729468816	0.44115994763755206	0.44623376231091955	0.45015737699423086	0.45179247733709477	0.45247424127735647	0.4631067709768992
Schopen@Air_Liquide_Deutschland_GmbH.de	 Schopen@Air_iquide_Deutschland_GmbHde	0.03457386870994209	0.03574179752627345	0.07267309700299185	0.07384102581932321	0.04382343584041944	0.09530391380391134	0.0819226641334692	0.05128205128205128	0.10338555211805733	0.05128205128205128	0.12430450390491568	0.12547243272124703	0.16240373219796544	0.16357166101429682	0.13355407103539305	0.18386662018255356	0.18503454899888494	0.1716532993284428	0.19311618731303093	0.4323358638990271	0.43237129314006406	0.4570055637450134	0.4581734925613447	0.4951047920380631	0.4962727208543945	0.4662551308754907	0.5165676800226513	0.5177356088389826	0.5043543591685404	0.5258172471531286
Freygang@Adidas_AG.de	 Freygang@Adids_AGde	0.010092491069980745	0.011979145311746781	0.010092491069980745	0.011979145311746781	0.025034099511521087	0.011979145311746781	0.025034099511521087	0.09523809523809523	0.025034099511521087	0.09523809523809523	0.09982312626495435	0.10170978050672037	0.09982312626495435	0.10170978050672037	0.11476473470649469	0.09982312626495435	0.10170978050672037	0.11476473470649469	0.11476473470649469	0.4323323776124581	0.43233257205631376	0.432524186105052	0.43441084034681804	0.432524186105052	0.43441084034681804	0.44746579454659235	0.432524186105052	0.43441084034681804	0.44746579454659235	0.44746579454659235
Masch@agiplan_GmbH.de	 Masch@agipan_GmbHde	0.010056523371851051	0.011589429943285955	0.010056523371851051	0.011589429943285955	0.02219658023060258	0.011589429943285955	0.02219658023060258	0.09523809523809523	0.02219658023060258	0.09523809523809523	0.09978715856682464	0.10132006513825956	0.09978715856682464	0.10132006513825956	0.11192721542557618	0.09978715856682464	0.10132006513825956	0.11192721542557618	0.11192721542557618	0.4323323740066897	0.4323325319923225	0.4324882184069223	0.4340211249783572	0.4324882184069223	0.4340211249783572	0.44462827526567383	0.4324882184069223	0.4340211249783572	0.44462827526567383	0.44462827526567383
Travnicek@Adidas_AG.de	 Travnicek@Adids_AGde	0.01006691404019963	0.011702014383063527	0.01006691404019963	0.011702014383063527	0.023016308022867926	0.011702014383063527	0.023016308022867926	0.09090909090909091	0.023016308022867926	0.09090909090909091	0.09979754923517323	0.10143264957803712	0.09979754923517323	0.10143264957803712	0.11274694321784152	0.09979754923517323	0.10143264957803712	0.11274694321784152	0.11274694321784152	0.43233237504835614	0.4323325435663644	0.4324986090752709	0.4341337094181348	0.4324986090752709	0.4341337094181348	0.4454480030579392	0.4324986090752709	0.4341337094181348	0.4454480030579392	0.4454480030579392
