Original	Verf�lschte	DL	L	1,1,1	1,3,3	1,10,10	1,300,300	1,1000,1000
Ebert@BNP_Paribas_S.A..de	 Ebert@BNP_aribas_SA..de	0.04	0.08	0.4664829292285492	0.4419775584292674	0.4333703883774924	0.4323335335707373	0.4323324641507249
Klingler-Wolf@BNP_Paribas_S.A..de	 Klingler-Wolf@BNP_aribas_SA..de	0.030303030303030304	0.06060606060606061	0.45445932665101874	0.43843863643393416	0.43298744843124154	0.4323330998033325	0.43233242511089315
Waldmüller@BNP_Paribas_S.A..de	 Waldmüller@BNP_aribas_SA..de	0.03333333333333333	0.06666666666666667	0.4583628725359761	0.43948597692679287	0.4330993644925737	0.43233322641940614	0.4323324365065491
Tepel@BNP_Paribas_S.A..de	 Tepel@BNP_aribas_SA..de	0.04	0.08	0.465401969502485	0.4418290954317585	0.4333566863972525	0.4323335183082644	0.43233246277709886
Nussbaum@BNP_Paribas_S.A..de	 Nussbaum@BNP_aribas_SA..de	0.03571428571428571	0.07142857142857142	0.46183625674961815	0.4404103357912993	0.4331980234711699	0.43233333802431	0.4323324465511738
Macher@BNP_Paribas_S.A..de	 Macher@BNP_aribas_SA..de	0.038461538461538464	0.07692307692307693	0.4631067709768992	0.44115994763755206	0.4332843683282513	0.4323334364011862	0.43233245540531823
Schopen@Air_Liquide_Deutschland_GmbH.de	 Schopen@Air_iquide_Deutschland_GmbHde	0.05128205128205128	0.05128205128205128	0.5258172471531286	0.4962727208543945	0.4570055637450134	0.43237129314006406	0.4323358638990271
Freygang@Adidas_AG.de	 Freygang@Adids_AGde	0.09523809523809523	0.09523809523809523	0.44746579454659235	0.43441084034681804	0.432524186105052	0.43233257205631376	0.4323323776124581
Masch@agiplan_GmbH.de	 Masch@agipan_GmbHde	0.09523809523809523	0.09523809523809523	0.44462827526567383	0.4340211249783572	0.4324882184069223	0.4323325319923225	0.4323323740066897
Travnicek@Adidas_AG.de	 Travnicek@Adids_AGde	0.09090909090909091	0.09090909090909091	0.4454480030579392	0.4341337094181348	0.4324986090752709	0.4323325435663644	0.43233237504835614
Ruckel@Aareon_AG.de	 Ruckel@Aaren_AGde	0.10526315789473684	0.10526315789473684	0.44638483482052815	0.43426237734930917	0.43251048412481213	0.4323325567938409	0.43233237623883203
Krusemarck@Aareon_AG.de	 Krusemarck@Aaren_AGde	0.08695652173913043	0.08695652173913043	0.4454480030579392	0.4341337094181348	0.4324986090752709	0.4323325435663644	0.43233237504835614
Heise@AIRBUS_S.A.S..de	 Heise@AIRBS_SA.S..de	0.045454545454545456	0.09090909090909091	0.4696958151778465	0.43880576598018556	0.4329533192070079	0.43233305282112267	0.432332420881653
Dreher@AIRBUS_S.A.S..de	 Dreher@AIRBS_SA.S..de	0.043478260869565216	0.08695652173913043	0.46838525886841864	0.43854190855500175	0.4329274974908615	0.4323330238862108	0.4323324182774886
Wilharm@AIRBUS_S.A.S..de	 Wilharm@AIRBS_SA.S..de	0.041666666666666664	0.08333333333333333	0.4639499744851562	0.43785875542072933	0.43286315095027916	0.43233295205923844	0.4323324118130308
Zintzen@Aixtron_AG.de	 Zintzen@Aixton_AGde	0.09523809523809523	0.09523809523809523	0.44638483482052815	0.43426237734930917	0.43251048412481213	0.4323325567938409	0.43233237623883203
Schapdick@Aixtron_AG.de	 Schapdick@Aixton_AGde	0.08695652173913043	0.08695652173913043	0.44326206227856496	0.4338334842453946	0.43247090062634136	0.43233251270225265	0.4323323722705791
Beckmann@Allianz_Global_Investors.de	 Beckmann@Allinz_Global_Investorsde	0.05555555555555555	0.05555555555555555	0.5252379249417428	0.4984787019590963	0.44938203159049706	0.43235491328450754	0.4323343887014009
U. Berquet@Amway_GmbH.de	 U. Berquet@Amwa_GmbHde	0.08333333333333333	0.08333333333333333	0.4439049860372044	0.4339217857667888	0.43247905017014415	0.4323325217799326	0.43233237308757233
Lachermeier-Seifert@Amway_GmbH.de	 Lachermeier-Seifert@Amwa_GmbHde	0.06060606060606061	0.06060606060606061	0.4421690918888778	0.4336833716590245	0.4324570464018766	0.43233249727019674	0.4323323708816905
Steinfartz@anyWARE_AG.de	 Steinfartz@anyWRE_AGde	0.08333333333333333	0.08333333333333333	0.4591707900224644	0.4398074388061126	0.43313531426231794	0.4323332672680581	0.4323324401830114
Volkmar@Bundesagentur_für_Arbeit.de	 Volkmar@Bundsagentur_für_Arbeitde	0.05714285714285714	0.05714285714285714	0.5269535351402136	0.480774900605648	0.44772994497011726	0.4323552603707838	0.4323344202211229
Hüttner@ASM_AS_(Siemens_AG).de	 Hüttner@ASM_S_(Siemens_AG)de	0.06666666666666667	0.06666666666666667	0.5030457368292578	0.47778019186096266	0.4459493396916066	0.4323509586045604	0.43233403277306776
Dräger@AstraZeneca_GmbH.de	 Dräger@AstrZeneca_GmbHde	0.07692307692307693	0.07692307692307693	0.4837960795977741	0.4635238327923119	0.4390847431892947	0.43234085389889204	0.4323331230777349
Röpke@AstraZeneca_GmbH.de	 Röpke@AstrZeneca_GmbHde	0.08	0.08	0.48542727209137004	0.46547095657690696	0.4395411371640588	0.43234143185043167	0.4323331751004736
Piotrowski@AstraZeneca_GmbH.de	 Piotrowski@AstrZeneca_GmbHde	0.06666666666666667	0.06666666666666667	0.4731936446080331	0.4569890748188503	0.4376661296816985	0.4323390686451107	0.43233296238394936
Tröger@AT-Design.de	 Tröger@AT-Dsignde	0.10526315789473684	0.10526315789473684	0.46669649211095443	0.4488463747934085	0.4347838610553483	0.4323352428110114	0.43233261799557104
Ruge@ATOSS_Software_AG.de	 Ruge@ATOS_Software_AGde	0.08	0.08	0.492406640160133	0.4653078146531841	0.43935129445840815	0.43234120934829634	0.432333155074522
Krüger@Audi_AG.de	 Krüger@AudiAGde	0.11764705882352941	0.11764705882352941	0.4487269142270006	0.4345840471772451	0.4325401717486652	0.43233258986253215	0.43233237921502177
Schuderer@Audi_AG.de	 Schuderer@AudiAGde	0.1	0.1	0.44746579454659235	0.43441084034681804	0.432524186105052	0.43233257205631376	0.4323323776124581
Schneider@Audi_AG.de	 Schneider@AudiAGde	0.1	0.1	0.44638483482052815	0.43426237734930917	0.43251048412481213	0.4323325567938409	0.43233237623883203
Schäffler@Audi_AG.de	 Schäffler@AudiAGde	0.1	0.1	0.44462827526567383	0.4340211249783572	0.4324882184069223	0.4323325319923225	0.4323323740066897
Bernet@AXA_Winterthur.de	 Bernet@AXA_interthurde	0.08333333333333333	0.08333333333333333	0.4930072648078586	0.4584236536537006	0.43630750296608545	0.43233708024514217	0.4323327833787874
Scholz@B._Braun_Melsungen_AG.de	 Scholz@B_Braun_Melsungen_AG.de	0.03225806451612903	0.03225806451612903	0.31785624588281164	0.2898888114774566	0.22500314155798667	0.1967840614952254	0.19673911800351562
Schade@BAHAG_AG.de	 Schade@BAHA_AGde	0.1111111111111111	0.1111111111111111	0.4668454960248209	0.43862071917948947	0.4329398586170362	0.43233303825192376	0.4323324195704607
Salewski@BASF_IT_Services_GmbH.de	 Salewski@BASFIT_Services_GmbHde	0.06060606060606061	0.06060606060606061	0.49584033152933027	0.4710980421753429	0.44062137147119673	0.4323427581651965	0.43233329448105
Gehl@BASF_IT_Services_GmbH.de	 Gehl@BASFIT_Services_GmbHde	0.06896551724137931	0.06896551724137931	0.5122679418162895	0.48193806062351824	0.44296789000118153	0.43234570528153804	0.43233355975546983
Tiedeke@Baumer_Electric_AG.de	 Tiedeke@Baumr_Electric_AGde	0.06896551724137931	0.06896551724137931	0.5139137686768386	0.4869009481619791	0.44488391441298936	0.43234842442021276	0.43233380454090875
