Original	Verf?schte	DL	L	1,1,1(Length,Distribution,Order)	1,3,3	1,10,10	1,300,300	1,1000,1000	10,10,10	10,10,3	10,3,10	3,10,10	10,3,3	3,10,3	3,3,10	10,3,1	10,1,3	3,10,1	3,1,10	1,10,3	1,3,10	10,1,10	10,10,1	10,10,10	1,10,1	10,1,1	1,1,10	3,3,1	3,1,3	1,3,3	3,1,1	3,3,3	1,1,3	1,3,1
Ebert@BNP_Paribas_S.A..de	 Ebret@BNP_Paribas_S.A..de	0.04	0.08	0.013934693402873666	0.010540405310703372	0.008947369955028326	2.452556739643841E-5	2.209756915366734E-6	0.008947369955028326	0.010540405310703372	0.008947369955028326	0.008947369955028326	0.010540405310703372	0.010540405310703372	0.008947369955028326	0.013934693402873666	0.010540405310703372	0.013934693402873666	0.008947369955028326	0.010540405310703372	0.008947369955028326	0.008947369955028326	0.013934693402873666	0.008947369955028326	0.013934693402873666	0.013934693402873666	0.008947369955028326	0.013934693402873666	0.010540405310703372	0.010540405310703372	0.013934693402873666	0.010540405310703372	0.010540405310703372	0.010540405310703372
Klingler-Wolf@BNP_Paribas_S.A..de	 Klnigler-Wolf@BNP_Paribas_S.A..de	0.030303030303030304	0.06060606060606061	0.01055658591126793	0.007985155423206476	0.006114309255482599	1.366618569459242E-5	1.2309612013905795E-6	0.006114309255482599	0.007985155423206476	0.006114309255482599	0.006114309255482599	0.007985155423206476	0.007985155423206476	0.006114309255482599	0.01055658591126793	0.007985155423206476	0.01055658591126793	0.006114309255482599	0.007985155423206476	0.006114309255482599	0.006114309255482599	0.01055658591126793	0.006114309255482599	0.01055658591126793	0.01055658591126793	0.006114309255482599	0.01055658591126793	0.007985155423206476	0.007985155423206476	0.01055658591126793	0.007985155423206476	0.007985155423206476	0.007985155423206476
Waldm??ller@BNP_Paribas_S.A..de	 Wadlm??ller@BNP_Paribas_S.A..de	0.03333333333333333	0.06666666666666667	0.011519669531242702	0.0037292489281716763	4.0825032478514765E-4	4.6295241786971827E-7	4.166658125008086E-8	4.0825032478514765E-4	0.0037292489281716763	4.0825032478514765E-4	4.0825032478514765E-4	0.0037292489281716763	0.0037292489281716763	4.0825032478514765E-4	0.011519669531242702	0.0037292489281716763	0.011519669531242702	4.0825032478514765E-4	0.0037292489281716763	4.0825032478514765E-4	4.0825032478514765E-4	0.011519669531242702	4.0825032478514765E-4	0.011519669531242702	0.011519669531242702	4.0825032478514765E-4	0.011519669531242702	0.0037292489281716763	0.0037292489281716763	0.011519669531242702	0.0037292489281716763	0.0037292489281716763	0.0037292489281716763
Tepel@BNP_Paribas_S.A..de	 Teepl@BNP_Paribas_S.A..de	0.04	0.08	0.004098638961326735	5.629221988878603E-4	5.19533417428925E-5	5.787020961970738E-8	5.208332030705772E-9	5.19533417428925E-5	5.629221988878603E-4	5.19533417428925E-5	5.19533417428925E-5	5.629221988878603E-4	5.629221988878603E-4	5.19533417428925E-5	0.004098638961326735	5.629221988878603E-4	0.004098638961326735	5.19533417428925E-5	5.629221988878603E-4	5.19533417428925E-5	5.19533417428925E-5	0.004098638961326735	5.19533417428925E-5	0.004098638961326735	0.004098638961326735	5.19533417428925E-5	0.004098638961326735	5.629221988878603E-4	5.629221988878603E-4	0.004098638961326735	5.629221988878603E-4	5.629221988878603E-4	5.629221988878603E-4
Nussbaum@BNP_Paribas_S.A..de	 Nussbaum@BNP_Paribas_S.A..de	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macher@BNP_Paribas_S.A..de	 Mahcer@BNP_Paribas_S.A..de	0.038461538461538464	0.07692307692307693	0.003934693402873666	5.404053109323459E-4	4.9875208073176804E-5	5.555540123491909E-8	4.999998749477541E-9	4.9875208073176804E-5	5.404053109323459E-4	4.9875208073176804E-5	4.9875208073176804E-5	5.404053109323459E-4	5.404053109323459E-4	4.9875208073176804E-5	0.003934693402873666	5.404053109323459E-4	0.003934693402873666	4.9875208073176804E-5	5.404053109323459E-4	4.9875208073176804E-5	4.9875208073176804E-5	0.003934693402873666	4.9875208073176804E-5	0.003934693402873666	0.003934693402873666	4.9875208073176804E-5	0.003934693402873666	5.404053109323459E-4	5.404053109323459E-4	0.003934693402873666	5.404053109323459E-4	5.404053109323459E-4	5.404053109323459E-4
Schopen@Air_Liquide_Deutschland_GmbH.de	 Scohpen@Air_Liquide_Deutschland_GmbH.de	0.02564102564102564	0.05128205128205128	0.008932495771072862	0.006756670071109372	0.005987065173510773	1.8846987964866325E-5	1.6984937361140789E-6	0.005987065173510773	0.006756670071109372	0.005987065173510773	0.005987065173510773	0.006756670071109372	0.006756670071109372	0.005987065173510773	0.008932495771072862	0.006756670071109372	0.008932495771072862	0.005987065173510773	0.006756670071109372	0.005987065173510773	0.005987065173510773	0.008932495771072862	0.005987065173510773	0.008932495771072862	0.008932495771072862	0.005987065173510773	0.008932495771072862	0.006756670071109372	0.006756670071109372	0.008932495771072862	0.006756670071109372	0.006756670071109372	0.006756670071109372
Freygang@Adidas_AG.de	 Fryegang@Adidas_AG.de	0.047619047619047616	0.09523809523809523	0.016588920717706745	0.012548100293327624	0.00915763624108874	1.9164558105758783E-5	1.7260661934853913E-6	0.00915763624108874	0.012548100293327624	0.00915763624108874	0.00915763624108874	0.012548100293327624	0.012548100293327624	0.00915763624108874	0.016588920717706745	0.012548100293327624	0.016588920717706745	0.00915763624108874	0.012548100293327624	0.00915763624108874	0.00915763624108874	0.016588920717706745	0.00915763624108874	0.016588920717706745	0.016588920717706745	0.00915763624108874	0.016588920717706745	0.012548100293327624	0.012548100293327624	0.016588920717706745	0.012548100293327624	0.012548100293327624	0.012548100293327624
Masch@agiplan_GmbH.de	 Macsh@agiplan_GmbH.de	0.047619047619047616	0.09523809523809523	0.004918366753592082	6.755066386654324E-4	6.2344010091471E-5	6.944425154364886E-8	6.249998436846927E-9	6.2344010091471E-5	6.755066386654324E-4	6.2344010091471E-5	6.2344010091471E-5	6.755066386654324E-4	6.755066386654324E-4	6.2344010091471E-5	0.004918366753592082	6.755066386654324E-4	0.004918366753592082	6.2344010091471E-5	6.755066386654324E-4	6.2344010091471E-5	6.2344010091471E-5	0.004918366753592082	6.2344010091471E-5	0.004918366753592082	0.004918366753592082	6.2344010091471E-5	0.004918366753592082	6.755066386654324E-4	6.755066386654324E-4	0.004918366753592082	6.755066386654324E-4	6.755066386654324E-4	6.755066386654324E-4
Travnicek@Adidas_AG.de	 Trvanicek@Adidas_AG.de	0.045454545454545456	0.09090909090909091	0.015834878866901894	0.011964053080663709	0.0052149215246319125	7.699453086440742E-6	6.931610203055176E-7	0.0052149215246319125	0.011964053080663709	0.0052149215246319125	0.0052149215246319125	0.011964053080663709	0.011964053080663709	0.0052149215246319125	0.015834878866901894	0.011964053080663709	0.015834878866901894	0.0052149215246319125	0.011964053080663709	0.0052149215246319125	0.0052149215246319125	0.015834878866901894	0.0052149215246319125	0.015834878866901894	0.015834878866901894	0.0052149215246319125	0.015834878866901894	0.011964053080663709	0.011964053080663709	0.015834878866901894	0.011964053080663709	0.011964053080663709	0.011964053080663709
